ticker,code,market,name,avg_value_krw,last_close,n_days
000660.KS,660,KOSPI,SK하이닉스,7106369334458,1796000,24
005930.KS,5930,KOSPI,삼성전자,6691833116354,273750,24
069500.KS,69500,KOSPI,"Empty DataFrame
Columns: []
Index: []",2112100107531,115130,24
005380.KS,5380,KOSPI,현대차,1109798916250,658000,24
001440.KS,1440,KOSPI,대한전선,808305641493,56500,24
402340.KS,402340,KOSPI,SK스퀘어,737087472208,1042000,24
009150.KS,9150,KOSPI,삼성전기,706550222125,982000,24
091160.KS,91160,KOSPI,"Empty DataFrame
Columns: []
Index: []",678000034235,142355,24
006400.KS,6400,KOSPI,삼성SDI,584910145958,592000,24
034020.KS,34020,KOSPI,두산에너빌리티,538765139529,106200,24
114800.KS,114800,KOSPI,"Empty DataFrame
Columns: []
Index: []",523263718193,1153,24
229200.KS,229200,KOSPI,"Empty DataFrame
Columns: []
Index: []",480427268164,18140,24
066570.KS,66570,KOSPI,LG전자,400586991225,218000,24
010120.KS,10120,KOSPI,LS ELECTRIC,380540152504,242000,24
360750.KS,360750,KOSPI,"Empty DataFrame
Columns: []
Index: []",376270798833,27455,24
329180.KS,329180,KOSPI,HD현대중공업,362427196354,607000,24
079550.KS,79550,KOSPI,LIG디펜스앤에어로스페이스,323769956541,838000,24
006800.KS,6800,KOSPI,미래에셋증권,323475242054,70400,24
036930.KQ,36930,KOSDAQ,주성엔지니어링,306692783233,174300,24
012330.KS,12330,KOSPI,현대모비스,291480873229,575000,24
005490.KS,5490,KOSPI,POSCO홀딩스,286022860666,448000,24
012450.KS,12450,KOSPI,한화에어로스페이스,283911995583,1230000,24
080220.KQ,080220,KOSDAQ,제주반도체,273923770410,86200,24
000270.KS,270,KOSPI,기아,244946830041,162400,24
032820.KQ,032820,KOSDAQ,우리기술,240047765447,16720,24
098460.KQ,098460,KOSDAQ,고영,238258444525,35050,24
298040.KS,298040,KOSPI,효성중공업,229099864250,3614000,24
028260.KS,28260,KOSPI,삼성물산,223885921229,383500,24
267260.KS,267260,KOSPI,HD현대일렉트릭,223572778541,1110000,24
007660.KS,7660,KOSPI,이수페타시스,219174209420,126900,24
373220.KS,373220,KOSPI,LG에너지솔루션,217549456020,400000,24
042660.KS,42660,KOSPI,한화오션,214296126045,115000,24
000720.KS,720,KOSPI,현대건설,211033275445,140700,24
086520.KQ,86520,KOSDAQ,에코프로,210791698020,124600,24
064350.KS,64350,KOSPI,현대로템,209443226620,199100,24
305720.KS,305720,KOSPI,"Empty DataFrame
Columns: []
Index: []",201356461781,18785,24
028050.KS,28050,KOSPI,삼성E&A,196953364947,48550,24
009830.KS,9830,KOSPI,한화솔루션,196912901077,40250,24
105560.KS,105560,KOSPI,KB금융,188124559441,152100,24
062040.KS,62040,KOSPI,산일전기,180624748837,252500,24
379810.KS,379810,KOSPI,"Empty DataFrame
Columns: []
Index: []",180361383780,28780,24
018880.KS,18880,KOSPI,한온시스템,175741070635,4780,24
178320.KQ,178320,KOSDAQ,서진시스템,175163228833,72100,24
035420.KS,35420,KOSPI,NAVER,174575593354,198000,24
011070.KS,11070,KOSPI,LG이노텍,170952576354,704000,24
090710.KQ,090710,KOSDAQ,휴림로봇,167812957155,12140,24
277810.KQ,277810,KOSDAQ,레인보우로보틱스,164793625083,737000,24
010060.KS,10060,KOSPI,OCI홀딩스,161554349720,303000,24
307950.KS,307950,KOSPI,현대오토에버,158882672875,590000,24
319400.KQ,319400,KOSDAQ,현대무벡스,152756686752,37100,24
403870.KQ,403870,KOSDAQ,HPSP,151684515660,52000,24
196170.KQ,196170,KOSDAQ,알테오젠,144840664458,351000,24
034220.KS,34220,KOSPI,LG디스플레이,140189517574,13060,24
051910.KS,51910,KOSPI,LG화학,138714628187,364500,24
454910.KS,454910,KOSPI,두산로보틱스,134363002729,115300,24
047810.KS,47810,KOSPI,한국항공우주,132023908983,157300,24
247540.KQ,247540,KOSDAQ,에코프로비엠,130781562266,188800,24
108490.KQ,108490,KOSDAQ,로보티즈,128818928854,308500,24
011790.KS,11790,KOSPI,SKC,128422537575,127300,24
006360.KS,6360,KOSPI,GS건설,125495209916,30150,24
000150.KS,150,KOSPI,두산,123818148208,1544000,24
450080.KS,450080,KOSPI,에코프로머티,123060213220,62900,24
082740.KS,82740,KOSPI,한화엔진,122749309366,67800,24
375500.KS,375500,KOSPI,DL이앤씨,122417321975,77400,24
032830.KS,32830,KOSPI,삼성생명,121293803875,306500,24
067310.KQ,67310,KOSDAQ,하나마이크론,120338082025,51200,24
058470.KQ,58470,KOSDAQ,리노공업,120066069633,100800,24
055550.KS,55550,KOSPI,신한지주,115613952912,91700,24
016360.KS,16360,KOSPI,삼성증권,115008502016,117500,24
064400.KS,64400,KOSPI,LG씨엔에스,113241871287,81100,24
003670.KS,3670,KOSPI,포스코퓨처엠,111644080208,226500,24
015760.KS,15760,KOSPI,한국전력,107996692217,36625,24
006260.KS,6260,KOSPI,LS,106860774854,468500,24
272210.KS,272210,KOSPI,한화시스템,105536511191,102800,24
440110.KQ,440110,KOSDAQ,파두,105164940500,93500,24
009540.KS,9540,KOSPI,HD한국조선해양,104605375229,401000,24
086280.KS,86280,KOSPI,현대글로비스,104017965083,229000,24
034730.KS,34730,KOSPI,SK,100848320020,515000,24
086790.KS,86790,KOSPI,하나금융지주,100421923125,115500,24
017670.KS,17670,KOSPI,SK텔레콤,98003552858,99000,24
443060.KS,443060,KOSPI,HD현대마린솔루션,97159668837,211000,24
364980.KS,364980,KOSPI,"Empty DataFrame
Columns: []
Index: []",96531723611,12410,24
207940.KS,207940,KOSPI,삼성바이오로직스,94166571375,1374000,24
000810.KS,810,KOSPI,삼성화재,93465431458,553000,24
018260.KS,18260,KOSPI,삼성에스디에스,89683963841,177200,24
089030.KQ,089030,KOSDAQ,테크윙,86200959741,48000,24
298380.KQ,298380,KOSDAQ,에이비엘바이오,83855002058,109600,24
039490.KS,39490,KOSPI,키움증권,82951675145,381000,24
071050.KS,71050,KOSPI,한국금융지주,82368711854,236000,24
035720.KS,35720,KOSPI,카카오,81364374512,42100,24
381180.KS,381180,KOSPI,"Empty DataFrame
Columns: []
Index: []",80833275738,44635,24
240810.KQ,240810,KOSDAQ,원익IPS,80648408970,111900,24
